r,QS,T,E[nq],E[w],U,
1,0,33.692,0.085,0.000,0.088,
2,0,31.454,0.107,0.000,0.093,
3,0,31.500,0.135,0.000,0.096,
4,0,31.157,0.084,0.000,0.095,
5,0,34.048,0.113,0.000,0.088,
6,0,31.703,0.111,0.000,0.093,
7,0,33.877,0.088,0.000,0.089,
8,0,32.236,0.099,0.000,0.091,
9,0,31.456,0.113,0.000,0.095,
10,0,32.367,0.088,0.000,0.093,
1,1,213.915,0.073,0.000,0.067,
2,1,208.179,0.094,0.000,0.068,
3,1,200.827,0.090,0.000,0.071,
4,1,206.135,0.078,0.000,0.070,
5,1,215.720,0.076,0.000,0.066,
6,1,201.690,0.091,0.000,0.070,
7,1,216.439,0.081,0.000,0.065,
8,1,202.528,0.093,0.000,0.069,
9,1,206.769,0.089,0.000,0.070,
10,1,210.595,0.080,0.000,0.068,
1,2,64.990,0.182,0.001,0.162,
2,2,63.012,0.220,0.001,0.170,
3,2,58.026,0.225,0.001,0.177,
4,2,59.906,0.195,0.001,0.170,
5,2,64.915,0.209,0.001,0.163,
6,2,57.975,0.225,0.001,0.175,
7,2,66.093,0.203,0.001,0.154,
8,2,59.926,0.219,0.001,0.182,
9,2,61.444,0.213,0.001,0.172,
10,2,61.926,0.204,0.001,0.173,
1,3,35.746,2.089,0.038,0.684,
2,3,30.779,3.271,0.060,0.766,
3,3,28.909,7.905,0.174,0.838,
4,3,30.146,4.111,0.083,0.813,
5,3,33.991,3.141,0.063,0.715,
6,3,30.143,7.687,0.176,0.838,
7,3,34.559,2.843,0.054,0.713,
8,3,31.680,3.907,0.077,0.771,
9,3,31.345,4.475,0.086,0.759,
10,3,32.904,2.122,0.039,0.727,
1,4,33.451,12.481,0.355,0.979,
2,4,32.474,28.605,0.822,0.999,
3,4,31.398,59.035,1.672,0.998,
4,4,32.532,8.600,0.236,0.969,
5,4,34.869,5.882,0.146,0.865,
6,4,31.927,16.902,0.468,0.990,
7,4,34.050,9.253,0.257,0.956,
8,4,32.300,28.731,0.796,0.971,
9,4,33.077,15.605,0.448,0.987,
10,4,31.813,19.024,0.531,0.994,